"event_date","source_type","matched_terms","snippet","source_url"
"2026-01-15","City Council YTD agenda/minutes HTML","change of zone; cup; general plan amendment; rv; site development permit","LL FOR REGULAR MEETING * Brian Berkson, Mayor * Chris Barajas, Mayor Pro Tem * Armando Carmona, Council Member * Veronica Sanchez, Council Member * Guillermo Silva, Council Member 5. INVOCATION 6. PLEDGE OF ALLEGIANCE 7. APPROVAL OF AGENDA 8. PRESENTATIONS: A. RECOGNITION OF BRIAN BERKSON FOR HIS SERVICE AND CONTRIBUTIONS AS JURUPA VALLEY MAYOR IN 2025 9. PUBLIC APPEARANCE/COMMENTS Persons wishing to address the City Council on subjects other than those listed on the Agenda are requested to do so at this time. A member of the public who wishes to speak under Public Appearance/Comments OR the Consent Calendar must fill out a “Speaker Card” and submit it to the City Clerk BEFORE the Mayor calls for Public Comments on an agenda item. When addressing the City Council, please come to the podium and state your name and address for the record. While listing your name and address is not required, it helps us to provide follow-up information to you if needed. In order to conduct a timely meeting, we ask that you keep your comments to 3 minutes. Government Code Section 54954.2 prohibits the City Council from taking action on a specific item until it appears on an agenda. 10. INTRODUCTIONS, ACKNOWLEDGEMENTS, COUNCIL COMMENTS AND ANNOUNCEMENTS 11. CITY MANAGER’S UPDATE 12. APPROVAL OF MINUTES DECEMBER 18, 2025, REGULAR MEETING Staff Report ""PDF"" 13. CONSENT CALENDAR COUNCIL APPROVAL OF A M","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_01152026-914?html=true"
"2026-02-05","City Council YTD agenda/minutes HTML","change of zone; conditional use permit; cup; general plan amendment; rv; sdp; self-storage; site development permit","tion No. 2026-08 : Approving the Register of Demands for February 5, 2026, in the amount of $4,141,490.67 (Exhibit 1); and Ratifying the Registers of Demands for January 8, 2026, through January 26, 2026, totaling $288,369.76 (Exhibit 2). Staff Report ""PDF"" SECOND AMENDMENT TO EXTEND PROFESSIONAL SERVICES AGREEMENT WITH SVA ARCHITECTS, INC. FOR THE CITY HALL UPGRADE AND THE NEW CITY HALL CONSTRUCTION PROJECTS (CIP 24108 AND 24109) Requested Action : That the City Council approve the Second Amendment to extend the contract term for the Professional Services Agreement (PSA) between the City of Jurupa Valley and SVA Architects, Inc. for architectural and design engineering services for the City Hall Upgrade and the New City Hall Construction Projects (CIP 24108 and 24109). Staff Report ""PDF"" CONSIDERATION OF A PUBLIC HIGHWAY AT-GRADE CROSSING AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND UNION PACIFIC RAILROAD COMPANY COVERING THE IMPROVEMENTS TO THE 20TH STREET AT-GRADE PUBLIC ROAD CROSSING (WEST OF AVALON STREET Requested Action : That the City Council: That the City Council approve the Agreement between the City of Jurupa Valley and Union Pacific Railroad Company covering the improvements to the 20th Street at-grade public road crossing (west of Avalon Street) and authorize the City Manager to execute the Agreement in substantially the form and format attached, subject to app","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?html=true"
"2026-02-19","City Council YTD agenda/minutes HTML","change of zone; conditional use permit; cup; general plan amendment; rv; sdp; self-storage; site development permit","of $2,859,638.96 (Exhibit 1); and Ratifying the Registers of Demands for February 3, 2026, through February 9, 2026 totaling $228,157.21 (Exhibit 2). Staff Report ""PDF"" SECOND AMENDMENT TO THE AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND WEST COAST ARBORISTS, INC. FOR TREE TRIMMING MAINTENANCE SERVICES Requested Action : That the City Council: Approve the Second Amendment to the Agreement between the City of Jurupa Valley (City) and West Coast Arborist, Inc. for tree trimming maintenance services by increasing the annual not-to-exceed amount for an additional $143,475; and Authorize the City Manager to execute the Second Amendment in substantially the form and format attached and as approved by the City Attorney. Staff Report ""PDF"" AMENDMENT TO EXTEND PROFESSIONAL SERVICES AGREEMENT WITH EXP U.S. SERVICES, INC. FOR THE PYRITE STREET AND STATE ROUTE 60 INTERCHANGE PROJECT Requested Action : That the City Council approve the Second Amendment to the Professional Services Agreement with EXP U.S. Services, Inc. to extend the contract term for the Pyrite Street and State Route 60 Interchange Ramp Traffic Signal Project (CIP No. 21113). Staff Report ""PDF"" AWARD CONSTRUCTION CONTRACT AND CONSTRUCTION MANAGEMENT AND CONSTRUCTION INSPECTION SERVICES AGREEMENT FOR THE AGATE STREET COMPLETE PROJECT Requested Action : That the City Council: Award a construction contract to LCR Earthwork ","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?html=true"
"2026-03-05","City Council YTD agenda/minutes HTML","change of zone; general plan amendment; rv; site development permit","NIT” TO THE WESTERN RIVERSIDE COUNTY TRANSPORTATION UNIFORM MITIGATION FEE (TUMF) PROGRAM AND FINDING THIS ORDINANCE EXEMPT FROM CEQA Staff Report ""PDF"" 14. CONSIDERATION OF ANY ITEMS REMOVED FROM THE CONSENT CALENDAR 15. PUBLIC HEARINGS PUBLIC HEARING TO CONSIDER MASTER APPLICATION (MA) NO. 22248: GENERAL PLAN AMENDMENT, CHANGE OF ZONE, TENTATIVE TRACT MAP, SITE DEVELOPMENT PERMIT TO ALLOW FOR CONSTRUCTION OF 232 RESIDENTIAL UNITS AND 24,000 SQUARE FEET OF COMMERCIAL/RETAIL SPACE WITHIN A 33-ACRE SITE LOCATED AT THE SOUTHEAST INTERSECTION OF LIMONITE AVENUE AND WINEVILLE AVENUE (APNS: 157-250-011, 157-250-013); APPLICANT: DIVERSIFIED PACIFIC DEVELOPMENT GROUP, LLC Requested Action : That the City Council conduct a public hearing and: Adopt Resolution No. 2026-14, entitled: A RESOLUTION OF THE CITY COUNCIL OF JURUPA VALLEY CERTIFYING THE FINAL ENVIRONMENTAL IMPACT REPORT (STATE CLEARINGHOUSE NUMBER 2024090808), ADOPTING FINDINGS PURSUANT TO THE CALIFORNIA ENVIRONMENTAL QUALITY ACT, ADOPTING A STATEMENT OF OVERRIDING CONSIDERATIONS, AND ADOPTING A MITIGATION MONITORING AND REPORTING PROGRAM FOR WINEVILLE MARKETPLACE VILLAGE DEVELOPMENT PROJECT Adopt Resolution No. 2026-15, entitled: A RESOLUTION OF THE CITY COUNCIL APPROVING MASTER APPLICATION NO. 22248 CONSISTING OF GENERAL PLAN AMENDMENT NO. 22006, TENTATIVE TRACT MAP NO. 38541, AND SITE DEVELOPMENT PERMIT NO. 22072 TO PERMIT ","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03052026-935?html=true"
"2026-03-19","City Council YTD agenda/minutes HTML","conditional use permit; cup; rv; sdp; site development permit","nual Progress Report and authorize the City Manager or his designee to submit the report to the California Office of Planning and Research (OPR) and the Housing and Community Development Department (HCD). Staff Report ""PDF"" AWARD CONSTRUCTION AND CONSTRUCTION MANAGEMENT AND CONSTRUCION INSPECTION SERVICES AGREEMENTS FOR PACIFIC AVENUE PEDESTRIAN AND BICYCLE IMPROVEMENTS PHASE 2, CIP 23115 Requested Action : That the City Council: That the City Council Award a Construction Contract to MDB General Engineering Inc. in the amount of $2,018,343 with a contingency of ten percent (10%) for the Pacific Avenue Pedestrian and Bicycle Improvements Phase 2 Project (CIP #23115) and authorize the City Manager to execute the agreement in substantially the form and format attached, subject to approval as to form by the City Attorney; and Award the Professional Services Agreement (PSA) for Construction Management and Inspection (CM/CI) with TKE Engineering Inc. in the amount of $237,255 with a contingency of ten percent (10%) for the Pacific Avenue Pedestrian and Bicycle Improvements Phase 2 Project (CIP #23115); and authorize the City Manager to execute the PSA in the form attached hereto. Staff Report ""PDF"" 16. CONSIDERATION OF ANY ITEMS REMOVED FROM THE CONSENT CALENDAR 17. PUBLIC HEARINGS PUBLIC HEARING TO CONSIDER AN APPEAL (MA26056, AP26002) TO THE CITY COUNCIL OF THE PLANNING COMMISSION’","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_03192026-938?html=true"
"2026-04-02","City Council YTD agenda/minutes HTML","change of zone; general plan amendment; rv; site development permit","?Notice of Completion and accept the?Mission Blvd phase 3 Project (CIP?21110)?authorizing?the City Clerk?to?record the Notice of Completion; and Authorize staff to release the retention?35 days?after the filing of the notice of completion. Staff Report ""PDF"" FIRST AMENDMENT TO EXTEND PROFESSIONAL SERVICES AGREEMENT WITH ONWARD ENGINEERING FOR THE GRANITE HILL AREA SAFE ROUTES TO SCHOOL SIDEWALK GAP CLOSURE PROJECT (CIP #23110) Requested Action : It is recommended that the City Council: Approve the First Amendment to the Professional Services Agreement (PSA) between the City of Jurupa Valley and Onward Engineering Inc. for Engineering Design Services for the Granite Hill Area Safe Routes to School Sidewalk Gap Closure Project, extending the term to through June 30, 2027; and Authorize the City Manager to execute the First PSA Amendment in substantially the form and format attached, subject to approval by the City Attorney. Staff Report ""PDF"" FOURTH AMENDMENT TO THE AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND STC TRAFFIC, INC., FOR ON-CALL TRAFFIC ENGINEERING SERVICES Requested Action : That the City Council: Approve the Fourth Amendment to the Agreement between the City of Jurupa Valley and STC Traffic, Inc., extending the contract for one year for on-call traffic engineering services; and Authorize the City Manager to execute the amendment in substantially the form attached","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_04022026-941?html=true"
"2026-04-16","City Council YTD agenda/minutes HTML","rv; sdp; site development permit","d Action : That the City Council Adopt Resolution 2026-21 : Ratifying the Registers of Demands for March 26, 2026, through April 4, 2026, totaling $50,029.07 (Exhibit 1). Staff Report ""PDF"" SECOND AMENDMENT TO THE AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND DENNIS JANDA, INC. FOR ON-CALL LAND SURVEYING SERVICES Requested Action : It is recommended that the City Council: Approve the Second Amendment to the Agreement between the City of Jurupa Valley and Dennis Janda, Inc., for On-Call Land Surveying Services extending the term through June 30, 2027 and increase the annual, not-to-exceed amount to $120,000; and Authorize the City Manager to execute the Second Amendment in substantially the form attached, and as approved by the City Attorney. Staff Report ""PDF"" SECOND AMENDMENT TO THE AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND HARRIS & ASSOCIATES, INC. FOR ON-CALL ASSESSMENT ENGINEERING SERVICES Requested Action : It is recommended that the City Council: Approve the Second Amendment to the Agreement between the City of Jurupa Valley and Harris & Associates, Inc. for On-Call Assessment Engineering Services, extending the term to through June 30, 2027, and increasing the annual, not-to-exceed amount to $367,000; and Authorize the City Manager to execute the Second Amendment in substantially the form and format attached, subject to approval by the City Attorney. Staff Report","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_04162026-943?html=true"
"2026-04-16","City Council YTD agenda/minutes HTML","rv","imely meeting, we ask that you keep your comments to 3 minutes. Government Code Section 54954.2 prohibits the City Council from taking action on a specific item until it appears on an agenda. 3. ACTION ITEM: COUNCIL APPROVAL OF AGREEMENT BETWEEN THE CITY AND CIVIC PLUS, LLC FOR ON-CALL TECHNOLOGY SERVICES. Requested Action : It is recommended that the City Council: Approve the Agreement between the City of Jurupa Valley (“City”) and Civic Plus, LLC for on-call technology services; and Authorize the City Manager to execute the Agreement in substantially the form and format attached and as approved by the City Attorney. Staff Report ""PDF"" 4. ADJOURNMENT: Adjourn to the Regular Meeting of April 16, 2026, at 7:00 p.m. at the City Council Chamber, 8930 Limonite Avenue, Jurupa Valley, CA 92509. In compliance with the Americans with Disabilities Act and Government Code Section 54954.2, if you need special assistance to participate in a meeting of the Jurupa Valley City Council or other services, please contact Jurupa Valley City Hall at (951) 332-6464. Notification at least 48 hours prior to the meeting or time when services are needed will assist staff in assuring that reasonable arrangements can be made to provide accessibility to the meeting or service. Agendas of public meetings and any other writings distributed to all, or a majority of, Jurupa Valley City Council Members in conn","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_04162026-944?html=true"
"2026-05-07","City Council YTD agenda/minutes HTML","change of zone; cup; general plan amendment; rv; sdp; site development permit"," 2026 in the amount of $293,660.46 (Exhibit 1); and Ratifying the Registers of Demands for April 6, 2026 through April 17, 2026. totaling $138,370.28 (Exhibit 2). Staff Report ""PDF"" FIRST AMENDMENT TO THE AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND TKE ENGINEERING, INC. FOR ENGINEERING DESIGN SERVICES FOR THE AGATE STREET COMPLETE PROJECT (CIP NO. 23109) Requested Action : It is recommended that the City Council: Approve the First Amendment to the Agreement between the City of Jurupa Valley and TKE Engineering, Inc. for Engineering Design Services for the Agate Street Complete Project (CIP No. 23109), extending the term through June 30, 2027 and increasing the contract amount by $23,565, for a total not-to-exceed amount of $95,204; and Authorize the City Manager to execute the Amendment in substantially the form and format attached and as approved by the City Attorney. - Staff Report ""PDF"" AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND STORM WATER INSPECTION & MAINTENANCE SERVICES, INC. FOR THE INSTALLATION OF CERTIFIED FULL CAPTURE SYSTEM TRASH TREATMENT CONTROL DEVICES AND STORM DRAIN CLEANING SERVICES Requested Action : It is recommended that the City Council: Approve the Agreement between the City of Jurupa Valley and Storm Water Inspection & Maintenance Services, Inc. (“SWIMS”) for the installation of Certified Full Capture System trash treatment control devices and s","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_05072026-946?html=true"
"2026-05-21","City Council YTD agenda/minutes HTML","change of zone; general plan amendment; i-p; rv; site development permit; truck","Y, CALIFORNIA, ADOPTING REGULATIONS FOR CANDIDATES FOR ELECTIVE OFFICE PERTAINING TO CANDIDATE STATEMENTS SUBMITTED TO THE VOTERS AT AN ELECTION TO BE HELD ON TUESDAY, NOVEMBER 3, 2026 Staff Report ""PDF"" CONFIRM AUTOMATIC ANNUAL INCREASE IN THE WESTERN RIVERSIDE COUNTY MULTIPLE SPECIES HABITAT CONSERVATION PLAN LOCAL DEVELOPMENT MITIGATION FEE APPLICABLE TO ALL DEVELOPMENTS IN THE PLAN AREA PURSUANT TO JURUPA VALLEY MUNICIPAL CODE SECTION 3.80.050.D Requested Action : It is recommended that the City Council adopt Resolution No. 26-30 , entitled: A RESOLUTION OF THE CITY COUNCIL OF THE CITY OF JURUPA VALLEY AMENDING RESOLUTION NO. 2025-36 AND CONFIRMING THE AUTOMATIC ANNUAL INCREASE IN THE WESTERN RIVERSIDE COUNTY MULTIPLE SPECIES HABITAT CONSERVATION PLAN LOCAL DEVELOPMENT MITIGATION FEE APPLICABLE TO ALL DEVELOPMENTS IN THE PLAN AREA PURSUANT TO JURUPA VALLEY MUNICIPAL CODE SECTION 3.80.050.D AND MAKING CEQA FINDINGS Staff Report ""PDF"" AGREEMENT BETWEEN THE CITY OF JURUPA VALLEY AND RIVERSIDE COUNTY REGIONAL PARK AND OPEN-SPACE DISTRICT FOR ADMINISTRATION OF THE 2024-2025 ILLEGAL DISPOSAL SITES ABATEMENT GRANT PROGRAM FROM THE STATE DEPARTMENT OF RESOURCES RECYCLING AND RECOVERY Requested Action : It is recommended that the City Council approve the agreement between the City of Jurupa Valley and Riverside County Regional Parks and Open-Space District (RivCoParks) for administr","https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_05212026-950?html=true"
