agenda_item,agenda_url,applicant,audio_mp3,audio_wav,body,buffer_after_seconds,buffer_before_seconds,case_id,case_name,clip_end_video_ts,clip_start_video_ts,decision_or_topic,hls_playlist,item_end_video_ts,item_pattern,item_start_video_ts,known_agenda_url,matched_item_title,meeting_date,priority,raw_transcript_json,raw_transcript_srt,raw_transcript_txt,site,status,video_id,video_index_csv,video_url
15.G,https://swagit-attachments.granicus.com/uploads/video/agenda_file/350142/7-17_JurupaCC.pdf,Francisco Cortez,video_transcripts\audio\JV001_fc_pallets_2025-07-17.mp3,video_transcripts\audio\JV001_fc_pallets_2025-07-17_16k.wav,City Council,10,10,JV001,FC Pallets,02:48:37,02:08:50,Denial of pallet yard legalization/expansion,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/923097c4-61be-42c0-b126-e9aae66492eb.mp4/playlist.m3u8,02:48:27,FC PALLETS|MA21108|PALLET YARD,02:09:00,https://jurupavalleyca.new.swagit.com/videos/350142,"15.G. PUBLIC HEARING TO CONSIDER MASTER APPLICATION (MA) NO. MA21108: PROPOSED GENERAL PLAN AMENDMENT (GPA21004) TO CHANGE LAND USE DESIGNATION FROM BUSINESS PARK (B-P) TO HEAVY INDUSTRIAL (H-I), CHANGE OF ZONE (CZ21005) FROM MANUFACTURING-SERVICE COMMERCIAL (M-SC) TO MANUFACTURING-HEAVY (M-H), CONDITIONAL USE PERMIT (CUP21004), VARIANCE (VAR23003), AND SITE DEVELOPMENT PERMIT (SDP21056) TO LEGALIZE EXPANSION OF A PALLET YARD AT 4247 CAMPBELL STREET (APN: 170-250-034, AND 170-250-033); APPLICANT: FRANCISCO CORTEZ",2025-07-17,1,video_transcripts\transcripts\JV001_fc_pallets_2025-07-17_raw_transcript.json,video_transcripts\transcripts\JV001_fc_pallets_2025-07-17_raw_transcript.srt,video_transcripts\transcripts\JV001_fc_pallets_2025-07-17_raw_transcript.txt,4247 Campbell Street,transcribed,350142,video_transcripts\metadata\JV001_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/350142
Consent calendar denial resolution,https://swagit-attachments.granicus.com/uploads/video/agenda_file/375852/02192026.pdf,Steve Galvez,video_transcripts\audio\JV002_i_15_rv_self_storage_denial_2026-02-19.mp3,video_transcripts\audio\JV002_i_15_rv_self_storage_denial_2026-02-19_16k.wav,City Council,10,10,JV002,I-15 RV Self Storage Denial,00:43:32,00:42:04,Denial resolution for I-15 RV/self-storage,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/d5e1f884-0a59-4022-984c-88180ae75808.mp4/playlist.m3u8,00:43:22,13. CONSENT CALENDAR,00:42:14,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02192026-926?html=true,13. CONSENT CALENDAR,2026-02-19,1,video_transcripts\transcripts\JV002_i_15_rv_self_storage_denial_2026-02-19_raw_transcript.json,video_transcripts\transcripts\JV002_i_15_rv_self_storage_denial_2026-02-19_raw_transcript.srt,video_transcripts\transcripts\JV002_i_15_rv_self_storage_denial_2026-02-19_raw_transcript.txt,Southeast of I-15 and 68th Street,transcribed,375852,video_transcripts\metadata\JV002_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/375852
16.A,https://swagit-attachments.granicus.com/uploads/video/agenda_file/374360/2-5_Jurupa_ValleyCA_CC.pdf,Steve Galvez,video_transcripts\audio\JV003_i_15_rv_self_storage_hearing_2026-02-05.mp3,video_transcripts\audio\JV003_i_15_rv_self_storage_hearing_2026-02-05_16k.wav,City Council,10,10,JV003,I-15 RV Self Storage Hearing,04:21:40,01:44:04,Initial public hearing package for RV/self-storage,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/1ea6431d-a332-4d4c-adbd-e50455264dc9.mp4/playlist.m3u8,04:21:30,MA20269|RECREATIONAL VEHICLE|SELF-STORAGE,01:44:14,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_02052026-918?html=true,"16.A. PUBLIC HEARING TO CONSIDER MASTER APPLICATION (MA) NO. 20269: GENERAL PLAN AMENDMENT (GPA) NO. 21001, CHANGE OF ZONE (CZ) NO. 21001, TENTATIVE PARCEL MAP (TPM) NO. 39001, CONDITIONAL USE PERMIT (CUP) NO. 21001, AND SITE DEVELOPMENT PERMIT (SDP) NO. 21002 TO ALLOW A RECREATIONAL VEHICLE (RV) AND SELF-STORAGE FACILITY ON A 86.8- ACRE SITE LOCATED SOUTHEAST OF I-15 AND 68TH STREET (APNS: 152-060-006, 152-060-007, 152- 070-008, 152-060-009, & 152-020-010); APPLICANT: STEVE GALVEZ",2026-02-05,1,video_transcripts\transcripts\JV003_i_15_rv_self_storage_hearing_2026-02-05_raw_transcript.json,video_transcripts\transcripts\JV003_i_15_rv_self_storage_hearing_2026-02-05_raw_transcript.srt,video_transcripts\transcripts\JV003_i_15_rv_self_storage_hearing_2026-02-05_raw_transcript.txt,Southeast of I-15 and 68th Street,transcribed,374360,video_transcripts\metadata\JV003_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/374360
ZCA25006 / Ordinance 2026-08,https://swagit-attachments.granicus.com/uploads/video/agenda_file/395525/08062026.pdf,Leslie Starks,video_transcripts\audio\JV004_bus_dispatch_facility_2026-08-06.mp3,video_transcripts\audio\JV004_bus_dispatch_facility_2026-08-06_16k.wav,City Council,10,10,JV004,Bus Dispatch Facility,01:36:30,01:34:57,First reading for private bus dispatch in M-SC,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/0ea01e5d-6aa1-46bd-954e-715079d5b1f6.mp4/playlist.m3u8,01:36:20,BUS DISPATCH|ZCA25006|MA25123,01:35:07,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,"18.B. PUBLIC HEARING TO CONSIDER MASTER APPLICATION NO. 25123 (MA25123), ZONING CODE AMENDMENT NO. 25006 (ZCA25006) AMENDING CHAPTERS 9.148 AND 9.240 OF TITLE 9 (PLANNING AND ZONING) TO ADD BUS DISPATCH FACILITY AS A PERMITTED USE WITH A CUP IN THE M-SC ZONE AND DEVELOPMENT STANDARDS; APPLICANT: LESLIE STARKS",2026-08-06,1,video_transcripts\transcripts\JV004_bus_dispatch_facility_2026-08-06_raw_transcript.json,video_transcripts\transcripts\JV004_bus_dispatch_facility_2026-08-06_raw_transcript.srt,video_transcripts\transcripts\JV004_bus_dispatch_facility_2026-08-06_raw_transcript.txt,Jurupa Valley M-SC site,transcribed,395525,video_transcripts\metadata\JV004_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/395525
Consent calendar freight agreement,https://swagit-attachments.granicus.com/uploads/video/agenda_file/395525/08062026.pdf,City / Fehr & Peers,video_transcripts\audio\JV005_freight_analysis_plan_2026-08-06.mp3,video_transcripts\audio\JV005_freight_analysis_plan_2026-08-06_16k.wav,City Council,10,10,JV005,Freight Analysis Plan,01:24:39,01:10:53,Citywide Freight Analysis Plan and Mobility Element update,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/0ea01e5d-6aa1-46bd-954e-715079d5b1f6.mp4/playlist.m3u8,01:24:29,16. CONSENT CALENDAR,01:11:03,https://www.jurupavalley.org/AgendaCenter/ViewFile/Agenda/_08062026-964?html=true,16. CONSENT CALENDAR,2026-08-06,1,video_transcripts\transcripts\JV005_freight_analysis_plan_2026-08-06_raw_transcript.json,video_transcripts\transcripts\JV005_freight_analysis_plan_2026-08-06_raw_transcript.srt,video_transcripts\transcripts\JV005_freight_analysis_plan_2026-08-06_raw_transcript.txt,Citywide,transcribed,395525,video_transcripts\metadata\JV005_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/395525
ZCA21007,https://swagit-attachments.granicus.com/uploads/video/agenda_file/148916/12-2_JurupaCC.pdf,City of Jurupa Valley,video_transcripts\audio\JV006_truck_intensive_use_ordinance_final_2021-12-02.mp3,video_transcripts\audio\JV006_truck_intensive_use_ordinance_final_2021-12-02_16k.wav,City Council,10,10,JV006,Truck Intensive Use Ordinance Final,02:31:17,01:32:34,Final policy action narrowing truck-intensive uses,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/4c30dbac-6ad3-48ab-8c96-3f06e7781c20.mp4/playlist.m3u8,02:31:07,TRUCK INTENSIVE|ZCA21007,01:32:44,https://www.jurupavalley.org/CivicSend/ViewMessage/message/159310,"13.D. PUBLIC HEARING TO CONSIDER ZONING CODE AMENDMENT NO. 21007 (ZCA21007) ELIMINATING EXPANSION OR ESTABLISHMENT OF TRUCK INTENSIVE USES IN VARIOUS COMMERCIAL, INDUSTRIAL AND MANUFACTURING ZONES, INITIATION OF A GENERAL PLAN AMENDMENT AND ZONING AMENDMENT TO CHANGE THE LAND USE IN VARIOUS INDUSTRIAL AND MANUFACTURING ZONES IN THE CITY AND EXTENDING THE TEMPORARY MORATORIUM ON EXPANSION OR ESTABLISHMENT OF TRUCK INTENSIVE USES WITHIN FIVE INDUSTRIAL AND MANUFACTURING AREAS FOR AN ADDITIONAL ONE YEAR PERIOD",2021-12-02,2,video_transcripts\transcripts\JV006_truck_intensive_use_ordinance_final_2021-12-02_raw_transcript.json,video_transcripts\transcripts\JV006_truck_intensive_use_ordinance_final_2021-12-02_raw_transcript.srt,video_transcripts\transcripts\JV006_truck_intensive_use_ordinance_final_2021-12-02_raw_transcript.txt,Citywide,transcribed,148916,video_transcripts\metadata\JV006_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/148916
2.A,https://swagit-attachments.granicus.com/uploads/video/agenda_file/141320/10-7_JurupaCC.pdf,City of Jurupa Valley,video_transcripts\audio\JV007_truck_intensive_use_study_session_2021-10-07.mp3,video_transcripts\audio\JV007_truck_intensive_use_study_session_2021-10-07_16k.wav,City Council,10,10,JV007,Truck Intensive Use Study Session,01:10:21,00:00:45,Policy study session on truck-intensive uses,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/e58462d4-4ded-4080-9958-038cea4d847c.mp4/playlist.m3u8,01:10:11,TRUCK INTENSIVE|NORTH PYRITE,00:00:55,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,"2A. TRUCK INTENSIVE USE ORDINANCE, LAND USE STUDY AND NORTH PYRITE MASTER PLAN",2021-10-07,2,video_transcripts\transcripts\JV007_truck_intensive_use_study_session_2021-10-07_raw_transcript.json,video_transcripts\transcripts\JV007_truck_intensive_use_study_session_2021-10-07_raw_transcript.srt,video_transcripts\transcripts\JV007_truck_intensive_use_study_session_2021-10-07_raw_transcript.txt,Citywide,transcribed,141320,video_transcripts\metadata\JV007_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/141320
17.D,https://swagit-attachments.granicus.com/uploads/video/agenda_file/111956/1-21_JurupaCC.pdf,City of Jurupa Valley,video_transcripts\audio\JV008_truck_intensive_use_initiation_2021-01-21.mp3,video_transcripts\audio\JV008_truck_intensive_use_initiation_2021-01-21_16k.wav,City Council,10,10,JV008,Truck Intensive Use Initiation,03:49:56,03:19:59,Initiation of truck-intensive zoning work,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/b459e915-45ce-49f6-bde8-994beab5f7d8.mp4/playlist.m3u8,03:49:46,TRUCK INTENSIVE INDUSTRIAL|EXCESSIVE TRUCK TRAFFIC,03:20:09,https://www.jurupavalley.org/CivicSend/ViewMessage/message/153778,"17D. INITIATION OF AN AMENDMENT TO THE ZONING CODE, ZONING MAP AND GENERAL PLAN AND LAND USE MAP TO IDENTIFY APPROPRIATE LOCATIONS FOR TRUCK INTENSIVE INDUSTRIAL USES AND PROVIDE REASONABLE DEVELOPMENT STANDARDS TO PROTECT NEIGHBORING RESIDENTIAL NEIGHBORHOODS FROM THE IMPACTS OF EXCESSIVE TRUCK TRAFFIC",2021-01-21,2,video_transcripts\transcripts\JV008_truck_intensive_use_initiation_2021-01-21_raw_transcript.json,video_transcripts\transcripts\JV008_truck_intensive_use_initiation_2021-01-21_raw_transcript.srt,video_transcripts\transcripts\JV008_truck_intensive_use_initiation_2021-01-21_raw_transcript.txt,Citywide,transcribed,111956,video_transcripts\metadata\JV008_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/111956
Rubidoux Commerce Park,https://swagit-attachments.granicus.com/uploads/video/agenda_file/295268/1-18_JurupaValleyCC.pdf,Proficiency Rubidoux LLC,video_transcripts\audio\JV009_rubidoux_commerce_park_2024-01-18.mp3,video_transcripts\audio\JV009_rubidoux_commerce_park_2024-01-18_16k.wav,City Council,10,10,JV009,Rubidoux Commerce Park,02:29:06,01:49:25,Final large logistics approval,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/e5523241-49a2-457d-a181-e2eb1b25a683.mp4/playlist.m3u8,02:28:56,13. PUBLIC HEARING,01:49:35,https://ceqanet.lci.ca.gov/2020110449/6,13. PUBLIC HEARING,2024-01-18,2,video_transcripts\transcripts\JV009_rubidoux_commerce_park_2024-01-18_raw_transcript.json,video_transcripts\transcripts\JV009_rubidoux_commerce_park_2024-01-18_raw_transcript.srt,video_transcripts\transcripts\JV009_rubidoux_commerce_park_2024-01-18_raw_transcript.txt,Rubidoux area,transcribed,295268,video_transcripts\metadata\JV009_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/295268
Agua Mansa Commerce Park,https://swagit-attachments.granicus.com/uploads/video/agenda_file/153257/1-20_JurupaCC.pdf,Not captured,video_transcripts\audio\JV010_agua_mansa_commerce_park_2022-01-20.mp3,video_transcripts\audio\JV010_agua_mansa_commerce_park_2022-01-20_16k.wav,City Council,10,10,JV010,Agua Mansa Commerce Park,03:05:05,03:02:36,Industrial/logistics approval path with public hearing,https://archive-stream.granicus.com/OnDemand/_definst_/mp4:swagitVideo/jurupavalleyca/bc6e9b66-6c94-44e2-bac0-998589283c46.mp4/playlist.m3u8,03:04:55,AGUA MANSA|AQUA MANSA,03:02:46,https://jurupavalleyca.new.swagit.com/videos/153257/agenda,16C. PUBLIC HEARING REGARDING THE ANNEXATION OF TERRITORY (ZONE Z) TO THE CITY OF JURUPA VALLEY LANDSCAPE AND LIGHTING MAINTENANCE DISTRICT NO. 89-1-CONSOLIDATED (THE “DISTRICT”) AND THE LEVY AND COLLECTION OF ASSESSMENTS WITHIN SUCH TERRITORY; SOUTHEAST CORNER OF RUBIDOUX BOULEVARD AND EL RIVINO ROAD (AGUA MANSA COMMERCE PARK),2022-01-20,2,video_transcripts\transcripts\JV010_agua_mansa_commerce_park_2022-01-20_raw_transcript.json,video_transcripts\transcripts\JV010_agua_mansa_commerce_park_2022-01-20_raw_transcript.srt,video_transcripts\transcripts\JV010_agua_mansa_commerce_park_2022-01-20_raw_transcript.txt,Southeast corner of Rubidoux Boulevard and El Rivino Road,transcribed,153257,video_transcripts\metadata\JV010_video_index.csv,https://jurupavalleyca.new.swagit.com/videos/153257
